Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20
28,50,75,65,84,33,91,51,58,44,70,60,39,72,100,79,14,3,68,94
18,30,50,42,68,72,66,23,61,27,94,38,33,35,71,23,23,32,33,17
38,75,33,66,42,79,87,100,17,40,7,34,53,45,80,57,36,81,94,54
11,82,58,29,41,85,88,93,54,19,19,55,87,20,89,54,79,26,37,27
97,38,56,36,86,81,97,48,25,34,31,63,2,84,47,70,4,19,33,55
23,39,41,29,23,51,36,84,71,33,48,28,6,23,15,99,65,59,74,34
90,28,51,10,95,72,21,74,52,3,38,70,51,10,90,85,78,80,64,7
52,84,29,84,30,19,59,7,47,89,48,35,42,34,33,5,51,90,50,56
79,48,75,14,73,48,61,98,49,39,73,68,93,8,97,9,95,44,22,10
63,57,97,67,97,48,4,55,86,66,34,88,67,48,26,4,79,33,17,41
